Name;AboType;PLZ;Ort;Strasse;Hausnummer;Lat;Lon
Autohaus Sperlich GmbH;NSSN;19061;Wüstmark;Werkstr.;;;
Güll Gerüstbau GmbH;NSSN;19061;Wüstmark;Nikolaus-Otto-Str.;;;
Sicherheitstechnik GmbH C.D. Büttner;NSSN;19061;Wüstmark;Pampower Str.;;;
Golfverband MV e.V. Herr Rüdiger Born;NSSN;19061;Wüstmark;Werner-von-Siemens-Str.;1;;
Tischlerei Olaf Crölle;NSSN;19061;Wüstmark;Nikolaus-Otto-Str.;26;53.56464311284255;11.384183641178096
HKL Baumaschinen GmbH;NSSN;19061;Wüstmark;Rudolf-Diesel-Str.;;;
Direktion Straßenbau Hamburg STRABA;NSSN;19061;Wüstmark;Werkstr.;226;53.57461615697954;11.37981007758359
Reinhard SchÃ¼ler;NSSN;19061;Wüstmark;Nikolaus-Otto-Str.;30;53.563857171468754;11.385011406981757
Schweriner Elektro-Installation GmbH Olaf von MÃ¼ller;NSSN;19061;Wüstmark;Pampower Str.;52;53.577306589743976;11.395467623081567
OT OberflÃ¤chentechnik GmbH & Co. KG;NSSN;19061;Wüstmark;Werkstr.;115;53.57754965752823;11.386825578942426
